Ticker,Name,Recommendation Score
CR,Crane Company,1.08
CRH,CRH PLC,4.71
CRI,"Carter's, Inc.",1.67
CRM,"Salesforce, Inc.",0.76
CRS,Carpenter Technology Corporatio,1.42
CRT,Cross Timbers Royalty Trust,3.64
CSL,Carlisle Companies Incorporated,2.24
CSTM,Constellium SE,0.80
CSV,"Carriage Services, Inc.",1.53
CSX,CSX Corporation,1.46
CTS,CTS Corporation,1.27
CUBE,CubeSmart,1.06
CUK,Carnival Plc,1.25
CUZ,Cousins Properties Incorporated,-0.23
CVE,Cenovus Energy Inc,1.26
CVS,CVS Health Corporation,0.51
CVX,Chevron Corporation,1.17
CW,Curtiss-Wright Corporation,1.28
CWT,California Water Service Group,3.01
CX,"Cemex, S.A.B. de C.V. Sponsored",1.04
CXE,MFS High Income Municipal Trust,1.16
CXH,MFS Investment Grade Municipal ,1.10
CXW,"CoreCivic, Inc.",1.89
CYD,China Yuchai International Limi,0.61
D,"Dominion Energy, Inc.",0.80
DAC,Danaos Corporation,1.79
DAL,"Delta Air Lines, Inc.",3.63
DB,Deutsche Bank AG,0.69
DCI,"Donaldson Company, Inc.",1.63
DCO,Ducommun Incorporated,0.61
DD,"DuPont de Nemours, Inc.",-3.11
DDS,"Dillard's, Inc.",1.73
DE,Deere & Company,1.05
DEI,"Douglas Emmett, Inc.",0.15
DEO,Diageo plc,1.42
DG,Dollar General Corporation,2.20
DGX,Quest Diagnostics Incorporated,6.51
DHF,Dreyfus High Yield Strategies F,1.23
DHI,"D.R. Horton, Inc.",1.64
DHR,Danaher Corporation,0.54
DHT,"DHT Holdings, Inc.",1.57
DIN,"Dine Brands Global, Inc. Common",1.52
DIS,Walt Disney Company (The),1.00
DKL,"Delek Logistics Partners, L.P.",1.26
DKS,Dick's Sporting Goods Inc,1.72
DLB,Dolby Laboratories,8.34
DLR,"Digital Realty Trust, Inc.",0.19
DLX,Deluxe Corporation,1.28
DMB,Dreyfus Municipal Bond Infrastr,0.71
DMO,Western Asset Mortgage Defined ,1.44
DNP,"DNP Select Income Fund, Inc.",1.16
DOC,"Healthpeak Properties, Inc.",0.29
DOLE,Dole plc,1.11
DOX,Amdocs Limited,1.38
DPZ,Domino's Pizza Inc,2.21
DRD,DRDGOLD Limited,1.93
DRH,Diamondrock Hospitality Company,0.50
DRI,"Darden Restaurants, Inc.",1.15
